Account Key,Account Key â†’ Name,Transactions,Sum of Amount,Created At: Day
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"13.465,00","381.105,44",2025/6/1
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"10.734,00","491.354,62",2025/6/2
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"3.341,00","135.419,93",2025/6/3
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"80,00","107.120,9",2025/6/4
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"63,00","24.416,61",2025/6/5
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"21,00","41.380,5",2025/6/6
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"7,00","1.513,1",2025/6/7
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"12,00","24.929,11",2025/6/8
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"32,00","25.213,3",2025/6/9
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"11.080,00","528.308,83",2025/6/10
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"11.518,00","498.782,78",2025/6/11
000000028,TRANSFERSMILE INSTITUICAO DE PAGAMENTO LTDA,"10.796,00","667.975,1",2025/6/12
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"183,00","202.642,11",2025/6/1
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"52,00","14.039,47",2025/6/2
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"281,00","422.520,33",2025/6/3
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"683,00","1.133.327,02",2025/6/4
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"358,00","560.012,01",2025/6/5
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"391,00","484.072,82",2025/6/6
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"245,00","181.251,06",2025/6/7
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"296,00","252.007,37",2025/6/8
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"427,00","678.318,58",2025/6/9
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"395,00","639.481,58",2025/6/10
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"457,00","664.023,37",2025/6/11
000000029,Pagsmile Intermediacao e Agenciamento de Negocios Ltda,"409,00","580.310,24",2025/6/12
000000476,Orkestra Tecnologia Em Pagamento Ltda,"1,00",2.000.000,2025/6/2
000000476,Orkestra Tecnologia Em Pagamento Ltda,"1,00",2.000.000,2025/6/3
000000476,Orkestra Tecnologia Em Pagamento Ltda,"1,00",2.400.000,2025/6/10
000090530,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - BLQ,"1,00",7.897,2025/6/2
000090530,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - BLQ,"1,00",168.111,2025/6/6
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"3,00",172.481,2025/6/2
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"1,00",10.000,2025/6/3
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"1,00",160.000,2025/6/4
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"1,00",56.000,2025/6/5
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"1,00",154.229,2025/6/6
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"1,00",40.000,2025/6/9
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"1,00",40.000,2025/6/10
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"2,00",355.000,2025/6/11
000090534,NETLOLO SERVICOS DE INTERNET LTDA,"3,00",140.000,2025/6/12
000090544,MICROCASH SCMEPP LTDA - Transactions,"62,00","130.129,66",2025/6/4
000090544,MICROCASH SCMEPP LTDA - Transactions,"68,00","241.110,95",2025/6/10
000090544,MICROCASH SCMEPP LTDA - Transactions,"26,00","47.442,46",2025/6/12
000090549,ZAM PAGO LTDA,"1,00","0,43",2025/6/3
000090549,ZAM PAGO LTDA,"1,00","0,13",2025/6/9
000090583,Mix Solucoes Tech LTDA,"1,00",48.000,2025/6/1
000090583,Mix Solucoes Tech LTDA,"2,00",102.400,2025/6/2
000090583,Mix Solucoes Tech LTDA,"1,00",50.000,2025/6/4
000090583,Mix Solucoes Tech LTDA,"3,00",79.000,2025/6/5
000090583,Mix Solucoes Tech LTDA,"3,00",105.100,2025/6/6
000090583,Mix Solucoes Tech LTDA,"2,00",71.400,2025/6/7
000090583,Mix Solucoes Tech LTDA,"1,00",70.000,2025/6/8
000090583,Mix Solucoes Tech LTDA,"14,00",25,2025/6/9
000090583,Mix Solucoes Tech LTDA,"27,00",202.625,2025/6/10
000090583,Mix Solucoes Tech LTDA,"27,00",3.332,2025/6/11
000090583,Mix Solucoes Tech LTDA,"2,00","72.039,9",2025/6/12
000090584,A55 Payments LTDA - 90584,"1,00","13.545,86",2025/6/2
000090674,AMP PAY MARKETING E NEGOCIOS LTDA,"2,00","6.624,97",2025/6/2
000090675,EOS PAY MARKETING E NEGOCIOS LTDA,"17,00","907,55",2025/6/3
000090675,EOS PAY MARKETING E NEGOCIOS LTDA,"1,00",315,2025/6/12
000090676,ARTEMIS PAY MARKETING E NEGOCIOS LTDA,"2,00","0,15",2025/6/12
000090717,48.796.319 LEONEL DE ARAUJO SOUSA FILHO,"1.001,00","15.992,8",2025/6/1
000090717,48.796.319 LEONEL DE ARAUJO SOUSA FILHO,"1.843,00","32.732,4",2025/6/2
000090737,Futfantasy LTDA,"2,00",13,2025/6/1
000090737,Futfantasy LTDA,"15,00",2.207,2025/6/2
000090737,Futfantasy LTDA,"6,00","157,5",2025/6/4
000090737,Futfantasy LTDA,"33,00","1.658,91",2025/6/5
000090737,Futfantasy LTDA,"30,00","2.872,5",2025/6/6
000090737,Futfantasy LTDA,"32,00",751,2025/6/7
000090737,Futfantasy LTDA,"34,00",446,2025/6/8
000090737,Futfantasy LTDA,"23,00","737,58",2025/6/9
000090737,Futfantasy LTDA,"40,00",855,2025/6/10
000090737,Futfantasy LTDA,"72,00","1.300,19",2025/6/11
000090737,Futfantasy LTDA,"73,00",1.126,2025/6/12
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"321,00","742.561,45",2025/6/1
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"498,00","2.828.313,61",2025/6/2
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"643,00","3.276.642,21",2025/6/3
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"564,00","2.416.560,24",2025/6/4
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"592,00","3.525.695,49",2025/6/5
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"525,00","4.455.246,49",2025/6/6
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"295,00","1.364.166,92",2025/6/7
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"203,00",291.718,2025/6/8
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"514,00","4.470.724,6",2025/6/9
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"485,00","2.438.726,53",2025/6/10
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"401,00","2.398.394,78",2025/6/11
000090772,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90772,"378,00","942.221,71",2025/6/12
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"312,00","227.834,73",2025/6/1
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"453,00","505.414,22",2025/6/2
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"378,00","277.474,3",2025/6/3
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"371,00","231.137,52",2025/6/4
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"607,00","712.777,02",2025/6/5
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"490,00","388.247,05",2025/6/6
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"348,00","206.045,53",2025/6/7
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"327,00","150.942,29",2025/6/8
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"456,00","447.225,92",2025/6/9
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"489,00","393.071,07",2025/6/10
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"458,00","310.980,51",2025/6/11
000090775,Pagsmile Intermediacao e Agenciamento de Negocios LTDA - 90775,"551,00","408.557,27",2025/6/12
000090837,OKPAY INTERMEDIACAO DE NEGOCIOS LTDA,"3.570,00","618.483,8",2025/6/1
000090837,OKPAY INTERMEDIACAO DE NEGOCIOS LTDA,"5.067,00","988.230,39",2025/6/2
000090857,Futfantasy LTDA - BLQ,"1,00","1.991,5",2025/6/2
000090858,MADI GESTAO E COBRANCA LTDA,"11,00","88.214,4",2025/6/4
000090858,MADI GESTAO E COBRANCA LTDA,"6,00","290.735,74",2025/6/5
000090858,MADI GESTAO E COBRANCA LTDA,"1,00",7.446,2025/6/6
000090858,MADI GESTAO E COBRANCA LTDA,"2,00","9.858,32",2025/6/8
000090858,MADI GESTAO E COBRANCA LTDA,"1,00",2.610,2025/6/9
000090858,MADI GESTAO E COBRANCA LTDA,"3,00",150.000,2025/6/12
000090875,L F DA SILVA LTDA,"3,00",11,2025/6/5
000090875,L F DA SILVA LTDA,"95,00",9.500.000,2025/6/8
000090875,L F DA SILVA LTDA,"49,00",4.900.000,2025/6/9
000090875,L F DA SILVA LTDA,"59,00",5.900.000,2025/6/10
000090875,L F DA SILVA LTDA,"57,00",5.700.000,2025/6/11
000090875,L F DA SILVA LTDA,"47,00",4.300.008,2025/6/12
000090876,OKPAY INTERMEDIACAO DE NEGOCIOS LTDA - BLQ,"1,00","12.825,07",2025/6/4